,index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,predict,index,predict,no,yes
22,17137,58,management,married,tertiary,no,9683,no,no,cellular,4,aug,857,2,-1,0,unknown,,22,yes,0.7121357233952433,0.28786427660475666
23,26103,43,technician,married,secondary,no,576,no,no,cellular,2,feb,229,1,-1,0,unknown,,23,no,0.9558467641934316,0.044153235806568485
24,33878,40,retired,divorced,primary,no,919,yes,no,cellular,14,may,103,2,-1,0,unknown,,24,no,0.9755755250866516,0.024424474913348333
25,39053,50,technician,divorced,secondary,no,0,no,no,cellular,1,apr,280,1,184,3,success,,25,yes,0.05613684295703048,0.9438631570429696
26,33799,43,blue-collar,single,secondary,no,276,yes,no,cellular,14,may,33,6,-1,0,unknown,,26,no,0.9758027623150504,0.024197237684949774
27,37183,29,technician,single,secondary,no,382,no,no,cellular,27,aug,64,3,202,3,other,,27,no,0.9634865245671341,0.036513475432866
28,3606,36,services,married,secondary,no,279,no,no,unknown,16,may,261,6,-1,0,unknown,no,28,no,0.9753507179234908,0.02464928207650929
29,2561,42,management,married,tertiary,no,-700,yes,no,unknown,14,may,110,1,-1,0,unknown,no,29,no,0.9757945037918628,0.02420549620813697
30,29960,55,management,divorced,tertiary,no,5253,yes,yes,cellular,20,apr,378,1,287,19,failure,,30,no,0.9611762070019731,0.03882379299802676
31,32397,29,blue-collar,married,secondary,no,37,yes,no,cellular,11,may,138,3,353,1,other,,31,no,0.9750524771020156,0.024947522897984388
32,39539,63,retired,married,secondary,no,23047,no,no,cellular,17,jun,530,1,139,2,other,,32,no,0.8208824760678188,0.17911752393218114
33,431,50,management,married,tertiary,no,964,yes,no,unknown,6,may,323,1,-1,0,unknown,no,33,no,0.9754901647737176,0.0245098352262823
34,36842,19,student,single,primary,no,56,no,no,cellular,12,aug,246,1,-1,0,unknown,,34,yes,0.8099762357600682,0.19002376423993186
35,16926,51,services,married,secondary,no,7,yes,no,cellular,31,jul,8,30,-1,0,unknown,,35,no,0.9758387391396782,0.024161260860321776
36,9287,53,self-employed,divorced,tertiary,no,1841,no,no,unknown,12,jun,403,5,-1,0,unknown,,36,no,0.9724910375703848,0.027508962429615324
37,34246,36,services,single,secondary,no,568,yes,no,cellular,15,may,140,3,364,2,failure,,37,no,0.9746156072490914,0.025384392750908674
38,16277,53,technician,married,secondary,no,1389,no,no,telephone,30,jul,34,4,-1,0,unknown,,38,no,0.9757498975717042,0.024250102428295832
39,34105,26,student,single,primary,no,114,yes,no,cellular,14,may,226,2,-1,0,unknown,,39,no,0.9707367552945538,0.02926324470544622
40,11032,36,technician,married,tertiary,no,-718,yes,no,unknown,20,jun,11,20,-1,0,unknown,,40,no,0.9757474217354444,0.024252578264555714
41,34380,40,blue-collar,divorced,secondary,no,178,yes,no,cellular,15,may,188,1,-1,0,unknown,,41,no,0.9741794890776512,0.025820510922348845
42,19482,54,housemaid,married,primary,no,127,no,no,cellular,19,aug,176,4,-1,0,unknown,,42,no,0.974605033799172,0.025394966200827932
43,1844,44,unemployed,married,secondary,no,304,yes,no,unknown,12,may,129,2,-1,0,unknown,no,43,no,0.9757494778959852,0.024250522104014773
44,9552,37,services,married,secondary,no,40,no,no,unknown,16,jun,42,3,-1,0,unknown,,44,no,0.9757345274455688,0.02426547255443132
45,35437,49,unemployed,married,tertiary,no,377,no,no,cellular,22,may,158,1,59,2,failure,,45,no,0.9273220945205752,0.07267790547942461
46,29555,32,services,divorced,secondary,no,453,yes,no,cellular,17,apr,329,1,150,2,failure,,46,no,0.9683150576120182,0.03168494238798182
47,29993,35,management,married,tertiary,no,2123,yes,no,cellular,20,apr,54,1,273,3,failure,,47,no,0.9751806762835916,0.024819323716408385
48,28114,48,unemployed,married,primary,no,1296,no,no,cellular,5,mar,119,1,-1,0,unknown,,48,no,0.8308839320346344,0.16911606796536555
49,15,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,49,no,0.9756415620549079,0.02435843794509199
50,27712,50,blue-collar,married,primary,no,859,yes,yes,telephone,9,feb,56,5,196,7,failure,,50,no,0.9754960926422432,0.02450390735775692
51,12313,52,blue-collar,divorced,primary,no,98,no,yes,telephone,9,jul,271,1,-1,0,unknown,,51,no,0.9723867386012552,0.027613261398744728
52,11631,33,blue-collar,married,secondary,no,1834,yes,no,cellular,7,jul,117,3,-1,0,unknown,,52,no,0.9751456313281662,0.024854368671833785
53,13783,47,technician,married,secondary,no,1059,yes,no,cellular,17,jul,154,1,-1,0,unknown,,53,no,0.9748210701398058,0.025178929860194228
54,10119,48,management,married,primary,no,5348,no,no,unknown,18,jun,105,1,-1,0,unknown,,54,no,0.9753792483921028,0.024620751607897274
55,1306,34,management,married,secondary,no,487,yes,no,unknown,8,may,442,2,-1,0,unknown,no,55,no,0.9744135450297944,0.025586454970205612
56,9832,36,blue-collar,single,primary,no,2491,no,yes,unknown,17,jun,168,2,-1,0,unknown,,56,no,0.9750890753627424,0.024910924637257602
57,1046,36,blue-collar,married,secondary,no,-147,yes,no,unknown,8,may,156,1,-1,0,unknown,no,57,no,0.9758004948846868,0.024199505115313373
58,19431,34,management,married,tertiary,no,5399,no,no,cellular,19,aug,227,4,-1,0,unknown,,58,no,0.9588685267577944,0.041131473242205716
59,17534,32,management,married,tertiary,no,71,no,no,cellular,6,aug,80,3,-1,0,unknown,,59,no,0.9743302931460578,0.025669706853942247
60,36196,50,unemployed,married,secondary,no,3357,no,no,cellular,9,jun,239,4,-1,0,unknown,,60,yes,0.6305623623767085,0.36943763762329146
61,16539,57,management,married,tertiary,no,179,no,no,cellular,31,jul,190,2,-1,0,unknown,,61,no,0.9740593577642356,0.02594064223576451
62,15269,46,management,single,tertiary,no,502,no,no,cellular,25,jul,18,2,-1,0,unknown,,62,no,0.9755076617816848,0.024492338218315236
63,20793,33,management,married,tertiary,no,544,no,yes,cellular,26,aug,111,4,-1,0,unknown,,63,no,0.9753768470157068,0.02462315298429309
64,10835,38,blue-collar,married,secondary,no,-627,yes,yes,unknown,20,jun,176,4,-1,0,unknown,,64,no,0.9757325461304076,0.024267453869592552
65,27814,31,unemployed,single,tertiary,no,381,yes,no,cellular,9,feb,42,2,-1,0,unknown,,65,no,0.9752708342167816,0.024729165783218345
66,17032,45,blue-collar,married,unknown,no,0,no,no,cellular,4,aug,408,1,-1,0,unknown,,66,no,0.9546918707619586,0.045308129238041436
67,9504,36,blue-collar,married,primary,no,4143,no,yes,unknown,16,jun,78,5,-1,0,unknown,,67,no,0.9756802029869109,0.02431979701308893
68,34447,49,admin.,married,primary,no,169,yes,no,cellular,15,may,82,3,-1,0,unknown,,68,no,0.9753458241626998,0.02465417583730028
69,10991,56,unemployed,married,secondary,no,733,yes,no,unknown,20,jun,21,3,-1,0,unknown,,69,no,0.9757858224474142,0.02421417755258586
70,40023,52,technician,married,tertiary,no,0,no,no,cellular,9,aug,145,3,94,4,success,,70,no,0.8606414881619052,0.13935851183809478
71,24345,32,technician,married,secondary,no,5626,yes,no,cellular,21,nov,131,1,-1,0,unknown,,71,no,0.972969235208458,0.027030764791541928
72,4039,35,blue-collar,single,primary,no,47,no,no,unknown,20,may,317,1,-1,0,unknown,no,72,no,0.9751398559917036,0.024860144008296326
73,243,41,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,yes,73,no,0.9758159813832435,0.024184018616756404
74,34140,27,technician,single,secondary,no,218,yes,no,cellular,14,may,1462,2,352,1,failure,,74,yes,0.7623263414765747,0.23767365852342526
75,33982,39,blue-collar,married,secondary,no,-220,yes,no,cellular,14,may,282,1,352,2,failure,,75,no,0.9743503693951816,0.025649630604818424
76,23854,45,self-employed,married,secondary,no,7,no,no,cellular,20,nov,691,1,-1,0,unknown,,76,yes,0.6296226174347384,0.3703773825652617
77,38616,58,unemployed,married,secondary,no,1625,no,no,cellular,5,feb,286,2,-1,0,unknown,,77,no,0.8665719079846852,0.13342809201531486
78,5271,35,blue-collar,married,primary,no,690,yes,no,unknown,26,may,880,3,-1,0,unknown,,78,yes,0.6744071588527423,0.3255928411472577
79,37559,31,management,single,tertiary,no,9629,no,no,cellular,7,oct,180,2,96,2,failure,,79,no,0.8890634903552042,0.11093650964479583
80,9537,60,admin.,married,secondary,no,504,no,no,unknown,16,jun,178,4,-1,0,unknown,,80,no,0.9749507720553072,0.02504922794469291
81,13681,27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,unknown,,81,yes,0.350965895394973,0.649034104605027
82,10061,25,services,single,unknown,no,-501,yes,yes,unknown,18,jun,156,3,-1,0,unknown,,82,no,0.9754716566775647,0.024528343322435114
83,33229,38,blue-collar,married,primary,no,1455,yes,no,telephone,12,may,101,2,356,2,failure,,83,no,0.975595443190082,0.024404556809917984
84,29236,37,services,married,secondary,no,616,yes,no,cellular,17,apr,18,1,-1,0,unknown,,84,no,0.975701410732277,0.024298589267723037
85,4059,36,technician,married,secondary,no,3763,yes,no,unknown,20,may,83,1,-1,0,unknown,no,85,no,0.9755300290553246,0.024469970944675408
86,30869,33,self-employed,single,tertiary,no,1049,no,no,cellular,4,may,126,4,-1,0,unknown,,86,no,0.9708870475904512,0.029112952409548764
87,33483,37,management,married,tertiary,no,1852,no,no,cellular,13,may,117,2,370,1,failure,,87,no,0.9726057154076512,0.02739428459234889
88,22791,57,services,married,secondary,no,315,no,no,cellular,18,nov,127,4,-1,0,unknown,,88,no,0.974812428793476,0.025187571206523908
89,6221,28,services,single,secondary,no,3331,yes,no,unknown,28,may,229,2,-1,0,unknown,,89,no,0.9749384531376662,0.02506154686233379
90,35528,24,blue-collar,single,secondary,no,167,no,yes,cellular,25,may,288,1,96,2,success,,90,yes,0.11753105350219473,0.8824689464978053
91,40268,62,retired,married,secondary,no,2801,yes,yes,cellular,9,sep,261,1,183,1,success,,91,yes,0.05150106172821423,0.9484989382717858
92,1067,43,management,married,tertiary,no,870,yes,yes,unknown,8,may,528,1,-1,0,unknown,no,92,no,0.9614316014098516,0.0385683985901485
93,12820,49,technician,married,secondary,no,0,yes,no,cellular,11,jul,178,2,-1,0,unknown,,93,no,0.9750364905374236,0.02496350946257644
94,24094,56,retired,married,primary,no,1448,yes,yes,telephone,20,nov,16,1,-1,0,unknown,,94,no,0.9757363296971652,0.024263670302834862
95,9764,35,blue-collar,married,secondary,no,402,no,yes,unknown,17,jun,123,1,-1,0,unknown,,95,no,0.9751561473416464,0.024843852658353517
96,13159,26,blue-collar,married,secondary,no,155,no,yes,cellular,15,jul,76,3,-1,0,unknown,,96,no,0.9750657614899326,0.024934238510067375
97,3885,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes,97,yes,0.29090117176313546,0.7090988282368645
98,13252,36,management,single,tertiary,no,112,yes,no,cellular,15,jul,83,2,-1,0,unknown,,98,no,0.9750044673931226,0.02499553260687741
99,39481,22,services,single,secondary,no,361,no,no,telephone,7,jun,140,4,367,2,failure,,99,no,0.907937257553152,0.09206274244684813
100,12016,26,technician,married,secondary,no,370,no,yes,cellular,8,jul,1061,4,-1,0,unknown,,100,yes,0.18018690515724498,0.819813094842755
101,40444,24,technician,single,tertiary,no,368,no,no,cellular,7,oct,197,2,-1,0,unknown,,101,no,0.8555366096956103,0.1444633903043897
102,14546,35,technician,single,secondary,no,144,no,no,cellular,22,jul,163,2,-1,0,unknown,,102,no,0.974005720398359,0.02599427960164101
103,16480,44,management,single,tertiary,no,670,yes,no,cellular,31,jul,435,6,-1,0,unknown,,103,no,0.958655853116004,0.04134414688399612
104,269,42,blue-collar,divorced,primary,no,28,yes,no,unknown,5,may,126,3,-1,0,unknown,no,104,no,0.9757330945994004,0.02426690540059969
105,11274,30,management,married,tertiary,no,49,yes,yes,unknown,1,jul,359,1,-1,0,unknown,,105,no,0.9694076298343121,0.030592370165688
106,22807,40,technician,married,secondary,no,7313,yes,no,cellular,18,nov,241,2,182,1,failure,,106,no,0.9728389747461242,0.027161025253875717
107,16252,36,unemployed,divorced,secondary,no,2178,yes,no,cellular,30,jul,74,2,-1,0,unknown,,107,no,0.975771578409636,0.024228421590363813
108,26314,38,admin.,divorced,secondary,no,485,yes,no,cellular,2,feb,252,1,-1,0,unknown,,108,no,0.965235050209412,0.034764949790588084
109,15836,30,technician,married,tertiary,no,1103,yes,yes,cellular,29,jul,148,15,-1,0,unknown,,109,no,0.9752431245083246,0.024756875491675358
110,25182,47,technician,married,secondary,no,487,no,no,cellular,28,jan,218,2,177,1,failure,,110,no,0.9698639718171644,0.030136028182835693
111,40508,86,retired,married,primary,no,1255,no,no,cellular,14,oct,192,2,92,4,success,,111,yes,0.7727041217090345,0.2272958782909656
112,19794,50,blue-collar,married,primary,no,-219,no,yes,cellular,20,aug,177,2,-1,0,unknown,,112,no,0.975407976986796,0.024592023013204112
113,4979,53,blue-collar,married,primary,no,-1455,yes,no,unknown,23,may,169,2,-1,0,unknown,,113,no,0.975785586507232,0.02421441349276794
114,29537,38,technician,married,secondary,no,710,yes,no,cellular,17,apr,196,1,346,3,failure,,114,no,0.9731915088368908,0.026808491163109262
115,2178,21,blue-collar,single,secondary,no,614,yes,no,unknown,13,may,243,3,-1,0,unknown,no,115,no,0.9754627634257064,0.024537236574293613
116,28938,52,blue-collar,married,primary,no,281,yes,no,cellular,16,apr,55,4,335,3,other,,116,no,0.9756717254532152,0.02432827454678486
117,40630,28,student,single,secondary,no,970,no,no,cellular,8,nov,137,1,96,1,failure,,117,yes,0.6337660086297485,0.3662339913702515
118,22368,59,management,married,tertiary,no,63,no,no,telephone,18,nov,89,1,-1,0,unknown,,118,no,0.9746945212046764,0.02530547879532356
119,14825,32,blue-collar,married,secondary,no,476,yes,no,cellular,23,jul,956,9,-1,0,unknown,,119,yes,0.2303627359166125,0.7696372640833875
120,16359,35,management,married,tertiary,no,-468,yes,no,cellular,30,jul,540,8,-1,0,unknown,,120,yes,0.776443876880343,0.22355612311965706
121,7183,43,admin.,divorced,secondary,no,777,yes,no,unknown,2,jun,130,2,-1,0,unknown,,121,no,0.9747073753993492,0.025292624600650786
122,15237,30,technician,married,tertiary,no,179,yes,no,cellular,25,jul,111,2,-1,0,unknown,,122,no,0.9754664649578136,0.024533535042186496
123,13713,32,blue-collar,married,primary,no,2456,yes,no,cellular,17,jul,1151,1,-1,0,unknown,,123,yes,0.5330801388560088,0.4669198611439912
124,26794,44,entrepreneur,married,tertiary,no,5156,yes,no,cellular,4,feb,54,1,-1,0,unknown,,124,no,0.9739595349076664,0.026040465092333667
125,20,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,125,no,0.975747118346307,0.024252881653692958
126,23158,53,unemployed,divorced,secondary,no,587,no,no,cellular,19,nov,561,1,-1,0,unknown,,126,yes,0.5935115131502269,0.4064884868497732
127,18352,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,,127,no,0.968727149859652,0.03127285014034789
128,22806,34,admin.,married,secondary,no,353,no,yes,cellular,18,nov,126,3,-1,0,unknown,,128,no,0.9748639261499368,0.025136073850063303
129,6629,51,management,divorced,secondary,no,3348,yes,no,unknown,29,may,122,2,-1,0,unknown,,129,no,0.9755673998840404,0.024432600115959567
130,2033,33,management,single,tertiary,no,4128,yes,no,unknown,12,may,456,6,-1,0,unknown,no,130,no,0.9709386347976141,0.029061365202386
131,22197,54,management,married,tertiary,no,3795,yes,yes,cellular,17,nov,227,2,119,1,failure,,131,no,0.9726418193654855,0.027358180634514468
132,34644,31,management,single,tertiary,no,2734,yes,no,cellular,15,may,858,3,-1,0,unknown,,132,yes,0.13679272453618785,0.8632072754638122
133,3082,54,blue-collar,divorced,primary,no,190,yes,no,unknown,15,may,196,2,-1,0,unknown,no,133,no,0.9756740306452204,0.02432596935477944
134,16567,38,blue-collar,married,secondary,no,264,yes,no,telephone,31,jul,15,2,-1,0,unknown,,134,no,0.9754469139545014,0.024553086045498582
135,39229,45,admin.,married,secondary,no,3006,no,no,cellular,29,apr,388,2,-1,0,unknown,,135,yes,0.2838804638241962,0.7161195361758038
136,40665,34,technician,married,secondary,no,133,no,no,cellular,15,nov,401,2,187,5,success,,136,yes,0.049334890792466564,0.9506651092075334
137,36071,35,blue-collar,married,secondary,no,563,no,yes,cellular,4,jun,147,1,119,3,failure,,137,yes,0.5907070674526496,0.4092929325473505
138,33273,47,blue-collar,single,primary,no,10558,yes,no,cellular,13,may,81,3,174,2,other,,138,no,0.9724513570442864,0.027548642955713725
139,8147,40,blue-collar,married,secondary,no,440,yes,no,unknown,5,jun,327,2,-1,0,unknown,,139,no,0.9750539445324278,0.024946055467572226
140,21529,34,technician,married,secondary,yes,91,no,no,cellular,29,aug,67,4,-1,0,unknown,,140,no,0.9756938503452464,0.02430614965475351
141,37774,35,technician,single,secondary,no,183,no,no,cellular,23,oct,281,1,52,4,failure,,141,yes,0.16505982945959086,0.8349401705404091
142,2189,61,retired,married,primary,no,1060,yes,no,unknown,13,may,118,1,-1,0,unknown,no,142,no,0.9738058219008848,0.02619417809911519
143,7796,35,admin.,married,secondary,no,-87,yes,no,unknown,3,jun,1363,7,-1,0,unknown,,143,yes,0.5429683858243912,0.4570316141756087
144,25387,41,admin.,single,unknown,no,350,yes,no,cellular,29,jan,103,1,-1,0,unknown,,144,no,0.9753906053301638,0.024609394669836197
145,3718,28,student,single,tertiary,no,80,yes,no,unknown,19,may,234,1,-1,0,unknown,no,145,no,0.9753913086992704,0.02460869130072956
146,1741,56,management,married,secondary,no,230,no,no,unknown,9,may,73,4,-1,0,unknown,no,146,no,0.975796454977072,0.02420354502292792
147,33464,45,blue-collar,married,primary,no,2523,yes,no,cellular,13,may,110,4,-1,0,unknown,,147,no,0.9755157460189816,0.02448425398101849
148,1979,36,technician,single,secondary,no,-475,yes,no,unknown,12,may,793,5,-1,0,unknown,no,148,no,0.905360003386479,0.09463999661352096
149,22040,36,services,married,secondary,no,0,no,no,cellular,17,nov,94,1,-1,0,unknown,,149,no,0.9752657731558428,0.0247342268441573
150,13307,25,blue-collar,married,secondary,no,0,no,yes,cellular,15,jul,1424,4,-1,0,unknown,,150,yes,0.0930559014775102,0.9069440985224898
151,31881,37,management,divorced,tertiary,yes,-1,yes,yes,cellular,7,may,101,1,349,1,failure,,151,no,0.975557927655212,0.024442072344788176
152,8642,47,admin.,divorced,secondary,no,295,yes,no,unknown,6,jun,94,2,-1,0,unknown,,152,no,0.8906230491474381,0.10937695085256194
153,14535,27,blue-collar,married,primary,no,237,yes,no,cellular,22,jul,283,6,-1,0,unknown,,153,no,0.9736179099801959,0.02638209001980396
154,28469,42,blue-collar,married,primary,no,574,yes,no,cellular,6,apr,357,2,327,2,failure,,154,no,0.9732991673415372,0.02670083265846293
155,19192,33,unemployed,married,tertiary,no,3335,no,no,cellular,18,aug,98,6,-1,0,unknown,,155,no,0.975135463936748,0.024864536063252164
156,6165,44,management,married,tertiary,no,0,yes,no,unknown,28,may,260,1,-1,0,unknown,,156,no,0.9755238449347876,0.024476155065212245
157,35035,23,services,single,secondary,no,495,yes,yes,cellular,18,may,302,1,-1,0,unknown,,157,no,0.9654157968320314,0.03458420316796862
158,26993,37,admin.,single,primary,no,91,yes,no,cellular,4,feb,283,2,273,2,failure,,158,no,0.9723086218658054,0.02769137813419466
159,34253,33,technician,single,secondary,no,-242,yes,no,cellular,15,may,49,3,-1,0,unknown,,159,no,0.975609380744062,0.024390619255937915
160,5582,48,blue-collar,married,secondary,no,154,yes,no,unknown,27,may,70,3,-1,0,unknown,,160,no,0.9757871947775733,0.02421280522242684
161,22061,57,management,married,tertiary,yes,-24,yes,no,telephone,17,nov,14,1,-1,0,unknown,,161,no,0.9756501338134326,0.024349866186567426
162,38122,52,blue-collar,married,secondary,no,1797,yes,no,cellular,27,nov,92,2,99,1,failure,,162,no,0.9744458669131468,0.02555413308685333
163,15917,54,blue-collar,married,primary,no,1390,no,no,telephone,29,jul,647,2,-1,0,unknown,,163,no,0.904693499808216,0.09530650019178406
164,20931,40,management,married,tertiary,no,105,yes,yes,cellular,27,aug,166,9,-1,0,unknown,,164,no,0.9752618255743868,0.024738174425613352
165,27970,71,retired,married,secondary,no,2850,no,no,cellular,17,feb,185,1,-1,0,unknown,,165,yes,0.14871431761294673,0.8512856823870533
166,15310,36,admin.,single,secondary,no,191,yes,no,cellular,25,jul,18,7,-1,0,unknown,,166,no,0.9757320047144308,0.024267995285569256
167,4509,34,technician,single,tertiary,no,299,yes,no,unknown,21,may,205,2,-1,0,unknown,,167,no,0.9755504906640912,0.0244495093359088
168,28735,60,management,married,primary,no,252,yes,yes,cellular,13,apr,123,2,147,3,failure,,168,no,0.9719692200147888,0.02803077998521113
169,17227,49,management,married,tertiary,no,2139,no,no,cellular,5,aug,278,1,-1,0,unknown,,169,no,0.9235552615777916,0.07644473842220846
170,13237,60,retired,married,secondary,no,597,no,no,cellular,15,jul,981,1,-1,0,unknown,,170,yes,0.25335874146404,0.74664125853596
171,29217,54,blue-collar,married,primary,no,1895,yes,no,cellular,17,apr,345,1,-1,0,unknown,,171,no,0.9669846082923952,0.03301539170760478
172,10882,34,blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,,172,no,0.9738448555100342,0.026155144489965768
173,5168,42,blue-collar,single,primary,no,-68,yes,yes,unknown,26,may,167,1,-1,0,unknown,,173,no,0.975768570857444,0.024231429142555952
174,23840,30,blue-collar,married,secondary,no,399,no,yes,cellular,20,nov,282,2,-1,0,unknown,,174,no,0.9725436086764327,0.027456391323567104
175,8445,54,management,married,tertiary,no,884,yes,no,unknown,6,jun,91,1,-1,0,unknown,,175,no,0.9754687900466582,0.02453120995334174
176,30775,25,services,single,secondary,no,642,yes,yes,cellular,4,may,364,2,-1,0,unknown,,176,no,0.954935080314214,0.04506491968578607
177,12510,51,admin.,divorced,secondary,no,520,no,yes,cellular,10,jul,157,1,-1,0,unknown,,177,no,0.9730756347457468,0.02692436525425317
178,23882,48,entrepreneur,married,primary,no,2675,no,no,cellular,20,nov,123,1,-1,0,unknown,,178,no,0.9738974453719128,0.026102554628087263
179,28168,49,technician,divorced,tertiary,no,1807,yes,no,cellular,12,mar,229,1,-1,0,unknown,,179,yes,0.06642261170263186,0.933577388297368
180,5716,56,retired,divorced,primary,no,-154,yes,no,unknown,27,may,127,1,-1,0,unknown,,180,no,0.9756936504364244,0.024306349563575462
181,29234,40,blue-collar,married,primary,no,127,yes,no,cellular,17,apr,76,1,-1,0,unknown,,181,no,0.9754320590980732,0.02456794090192681
182,16975,26,blue-collar,single,secondary,no,-32,yes,yes,cellular,31,jul,14,6,-1,0,unknown,,182,no,0.9757343409560796,0.024265659043920414
183,40105,60,technician,divorced,secondary,no,367,no,no,cellular,16,aug,318,2,-1,0,unknown,,183,no,0.8601855171091743,0.13981448289082565
184,38099,24,blue-collar,single,primary,no,1033,yes,no,cellular,24,nov,283,1,-1,0,unknown,,184,no,0.9607124172319604,0.03928758276803964
185,9329,48,technician,married,unknown,no,74,no,no,unknown,12,jun,181,1,-1,0,unknown,,185,no,0.9747322431244636,0.02526775687553624
186,27626,56,management,married,tertiary,no,616,no,no,cellular,6,feb,156,1,-1,0,unknown,,186,yes,0.7851268898749668,0.2148731101250332
187,23316,51,entrepreneur,married,tertiary,no,3,no,no,cellular,19,nov,276,2,-1,0,unknown,,187,no,0.9699146269817176,0.03008537301828232
188,2092,31,blue-collar,married,secondary,no,472,yes,no,unknown,13,may,907,2,-1,0,unknown,no,188,no,0.8840036900060901,0.1159963099939098
189,9487,46,technician,married,secondary,no,68,yes,yes,unknown,16,jun,87,3,-1,0,unknown,,189,no,0.9755827518667934,0.0244172481332066
190,1694,29,technician,single,tertiary,no,542,yes,no,unknown,9,may,338,3,-1,0,unknown,no,190,no,0.9754068490404788,0.024593150959521286
191,27534,44,technician,married,secondary,no,310,yes,no,cellular,6,feb,200,1,253,1,failure,,191,no,0.9736863787885928,0.026313621211407238
192,30195,45,services,single,secondary,no,303,yes,no,cellular,20,apr,110,3,-1,0,unknown,,192,no,0.9743802450227428,0.025619754977257117
193,24339,57,management,single,unknown,no,5368,yes,no,cellular,21,nov,585,1,-1,0,unknown,,193,no,0.8287032221181291,0.1712967778818709
194,26859,75,retired,divorced,primary,no,3881,yes,no,cellular,4,feb,136,3,-1,0,unknown,,194,yes,0.4925988945472327,0.5074011054527673
195,15075,35,unemployed,married,primary,no,3,no,no,cellular,24,jul,90,1,-1,0,unknown,,195,no,0.9755938278461832,0.02440617215381689
